production_name,genome_uuid,meta_key,desired_meta_value,dataset_type,species_id,table_location
,ed6eaa1d-ea95-4541-8995-dc431fd39c9a,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,4771f41f-32da-4197-814f-e416cacde71a,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7d28491b-db92-4ce9-b3d8-d9e09110938a,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,b2fffb2e-100f-47c9-9536-fca3be854eed,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1fdc822c-af96-4713-8c6e-22c285fdf02b,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,ddfadcb5-3b4a-48ca-9dcd-e75884445bd1,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7eac3520-9958-4673-97aa-0ce113dd5741,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,83f3988b-338d-4b3d-b308-14d2d2965a84,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,aefd0411-4d6d-40f1-96b7-2f09f93bdfc6,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,d51c383b-1d82-4444-b1b5-3364c703477b,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,fac9c659-c037-41c1-8c37-f5cbc98123fd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,dd8bf588-78b7-4704-be95-2ccd04b82c69,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,35b1a30d-a477-4e7d-9df2-37dabc08caee,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,09b4bea2-a198-4f1a-904c-12100bddfce2,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
